Customer ID,Age,Gender,City,Education,Occupation,Annual Income (₹),Join Date,Total Spend (₹),Purchase Frequency,Recency (days),Avg Order Value (₹),Satisfaction Score,Online Purchase Ratio,Discount Sensitivity,Loyalty Score,Sessions per Month,Cart Abandonment Rate,Preferred Channel,Payment Method,Top Category 1,Top Category 2,Returns Count,Referrals Made,Archetype
"CUST-00001",48,"Female","Pune","Master","Government Employee",89138,"2022-04-08",20546,32,14,447,4.4,0.6,0.5,914,54,0.26,"Mobile App","Cash","Fashion","Books",3,1,"Loyal"
"CUST-00002",42,"Other","Jaipur","PhD","Retired",79850,"2021-02-20",84642,1,22,9243,4,0.82,0.29,778,8,0.16,"Email Campaign","UPI","Electronics","Beauty",2,0,"Premium"
"CUST-00003",48,"Other","Surat","High School","Student",229094,"2022-10-25",29703,7,7,6773,4.4,0.71,0.26,852,4,0.19,"Word of Mouth","Debit Card","Travel","Books",1,0,"Premium"
"CUST-00004",36,"Female","Kolkata","Bachelor","Engineer",49587,"2023-07-20",5306,1,413,3460,1.5,0.33,0.58,462,1,0.47,"Word of Mouth","Credit Card","Fashion","Books",4,1,"At-Risk"
"CUST-00005",50,"Male","Ahmedabad","Master","Business Owner",77009,"2021-01-04",5948,3,279,6960,2.5,0.56,0.58,266,10,0.57,"Website","UPI","Grocery","Electronics",3,2,"At-Risk"
"CUST-00006",32,"Other","Jaipur","Master","Analyst",81854,"2020-10-14",1569,2,240,1108,2.5,0.31,0.62,452,1,0.55,"Email Campaign","Debit Card","Books","Beauty",5,0,"At-Risk"
"CUST-00007",23,"Male","Surat","PhD","Doctor",50700,"2022-06-12",23866,21,9,743,4.6,0.62,0.55,782,25,0.32,"Mobile App","Cash","Health","Beauty",5,7,"Loyal"
"CUST-00008",27,"Other","Delhi","Bachelor","Engineer",53402,"2022-01-07",2140,2,58,361,2.6,0.93,0.8,303,27,0.49,"Social Media","Debit Card","Books","Food Delivery",3,3,"Budget"
"CUST-00009",43,"Male","Mumbai","Diploma","Business Owner",46351,"2020-11-03",8682,1,190,4500,3,0.28,0.59,333,5,0.43,"Word of Mouth","Debit Card","Fashion","Grocery",1,1,"At-Risk"
"CUST-00010",33,"Other","Chandigarh","PhD","Student",96169,"2021-12-22",3733,1,122,1881,3,0.42,0.78,367,11,0.63,"Word of Mouth","Credit Card","Fashion","Travel",2,2,"At-Risk"
