Customer ID,Age,Gender,City,Education,Occupation,Annual Income (₹),Join Date,Total Spend (₹),Purchase Frequency,Recency (days),Avg Order Value (₹),Satisfaction Score,Online Purchase Ratio,Discount Sensitivity,Loyalty Score,Sessions per Month,Cart Abandonment Rate,Preferred Channel,Payment Method,Top Category 1,Top Category 2,Returns Count,Referrals Made,Archetype,Cluster,Segment,PCA1,PCA2
CUST-00001,48,Female,Pune,Master,Government Employee,89138,2022-04-08,20546,32,14,447,4.4,0.6,0.5,914,54,0.26,Mobile App,Cash,Fashion,Books,3,1,Loyal,2,Budget Seekers,1.5931651062955334,2.657957978758321
CUST-00002,42,Other,Jaipur,PhD,Retired,79850,2021-02-20,84642,1,22,9243,4.0,0.82,0.29,778,8,0.16,Email Campaign,UPI,Electronics,Beauty,2,0,Premium,0,Premium Loyalists,2.332206607788316,-1.5482153413100757
CUST-00003,48,Other,Surat,High School,Student,229094,2022-10-25,29703,7,7,6773,4.4,0.71,0.26,852,4,0.19,Word of Mouth,Debit Card,Travel,Books,1,0,Premium,0,Premium Loyalists,2.138299946296573,-0.9871321383797451
CUST-00004,36,Female,Kolkata,Bachelor,Engineer,49587,2023-07-20,5306,1,413,3460,1.5,0.33,0.58,462,1,0.47,Word of Mouth,Credit Card,Fashion,Books,4,1,At-Risk,1,Loyal Regulars,-2.8291868268993756,-2.094573167595121
CUST-00005,50,Male,Ahmedabad,Master,Business Owner,77009,2021-01-04,5948,3,279,6960,2.5,0.56,0.58,266,10,0.57,Website,UPI,Grocery,Electronics,3,2,At-Risk,1,Loyal Regulars,-2.092403369554589,-1.7317878512976004
CUST-00006,32,Other,Jaipur,Master,Analyst,81854,2020-10-14,1569,2,240,1108,2.5,0.31,0.62,452,1,0.55,Email Campaign,Debit Card,Books,Beauty,5,0,At-Risk,1,Loyal Regulars,-2.353651075743241,-1.109878141405302
CUST-00007,23,Male,Surat,PhD,Doctor,50700,2022-06-12,23866,21,9,743,4.6,0.62,0.55,782,25,0.32,Mobile App,Cash,Health,Beauty,5,7,Loyal,2,Budget Seekers,0.669873314082546,1.8183458616637398
CUST-00008,27,Other,Delhi,Bachelor,Engineer,53402,2022-01-07,2140,2,58,361,2.6,0.93,0.8,303,27,0.49,Social Media,Debit Card,Books,Food Delivery,3,3,Budget,3,At-Risk Customers,-2.044158544691788,0.6316035963658287
CUST-00009,43,Male,Mumbai,Diploma,Business Owner,46351,2020-11-03,8682,1,190,4500,3.0,0.28,0.59,333,5,0.43,Word of Mouth,Debit Card,Fashion,Grocery,1,1,At-Risk,1,Loyal Regulars,-1.6754518996695544,-1.2631630570873553
CUST-00010,33,Other,Chandigarh,PhD,Student,96169,2021-12-22,3733,1,122,1881,3.0,0.42,0.78,367,11,0.63,Word of Mouth,Credit Card,Fashion,Travel,2,2,At-Risk,1,Loyal Regulars,-2.1952132734601917,-0.43225304783773655
CUST-00011,52,Male,Indore,PhD,Government Employee,330247,2022-02-15,69947,1,22,9546,4.1,0.7,0.14,879,24,0.12,Social Media,Debit Card,Grocery,Home Decor,1,3,Premium,0,Premium Loyalists,3.440996488462715,-1.602540251712626
CUST-00012,41,Other,Bhopal,High School,Designer,62859,2020-06-26,10847,25,9,310,4.2,0.64,0.57,743,35,0.28,Word of Mouth,EMI,Books,Grocery,2,8,Loyal,2,Budget Seekers,0.6315720148044087,1.9841789373129173
CUST-00013,55,Other,Delhi,High School,Freelancer,157563,2022-05-15,79301,3,22,9963,4.1,0.58,0.2,783,10,0.18,Social Media,Credit Card,Health,Beauty,0,3,Premium,0,Premium Loyalists,2.734753376066043,-1.8681449824179817
CUST-00014,42,Female,Surat,Diploma,Engineer,75650,2021-04-17,22929,44,4,458,4.8,0.62,0.32,749,42,0.18,Social Media,EMI,Books,Health,5,3,Loyal,2,Budget Seekers,1.9655728635181646,2.8960810782764312
CUST-00015,37,Other,Hyderabad,Master,Teacher,240090,2021-10-12,48005,10,22,10056,4.4,0.56,0.25,760,14,0.13,Social Media,UPI,Grocery,Health,0,0,Premium,0,Premium Loyalists,2.500078084627195,-0.781098522737138
CUST-00016,31,Female,Mumbai,High School,Student,24319,2023-02-06,894,2,26,153,3.2,1.0,0.86,104,15,0.54,In-Store,Credit Card,Health,Sports,1,1,Budget,3,At-Risk Customers,-2.3543670299608714,0.42470099566805586
